Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
REST,-0.0946111111111111,0.7250652471355284,0.8203125,9,0.8691904615661417,0.9312940906455354,False,False,down
UPK3BL1,0.05129999999999995,0.7273387251541634,0.5703125,9,0.8715601125164333,0.7765451147426982,False,False,up
HSDL2,0.07004000000000002,0.7290004878986028,0.375,10,0.8728266946681444,0.6402735264806378,False,False,up
IL20RB,-0.05796,0.7291975341124814,0.845703125,10,0.8728266946681444,0.9341218797010155,False,False,down
SERPINA4,0.012739999999999996,0.7299081532702922,0.921875,10,0.8728266946681444,0.9771010014435222,False,False,up
GALNT10,0.026066666666666658,0.729913360414226,0.49609375,9,0.8728266946681444,0.7318068024861878,False,False,up
ATP6AP2,0.03492499999999999,0.7299830188632128,0.7421875,8,0.8728266946681444,0.8768321349557522,False,False,up
TGOLN2,0.029022222222222244,0.7301788181135958,0.734375,9,0.8728266946681444,0.8768321349557522,False,False,up
EFCAB2,-0.05765555555555557,0.7305688868171869,0.359375,9,0.8729376812783067,0.6354511589403974,False,False,down
PRAP1,-0.030730000000000014,0.7311912055453396,0.845703125,10,0.8733259742524042,0.9341218797010155,False,False,down
TIE1,0.08176000000000001,0.7316020833849242,0.322265625,10,0.8734615117485862,0.5871551740849876,False,False,up
FCRLB,0.06076249999999999,0.7324633625322579,0.546875,8,0.8740279851251065,0.7765451147426982,False,False,up
UGDH,0.063025,0.7328024444475921,0.7421875,8,0.8740279851251065,0.8768321349557522,False,False,up
DKKL1,-0.033944444444444416,0.7329693317545581,0.8203125,9,0.8740279851251065,0.9312940906455354,False,False,down
NID2,0.09198999999999999,0.7339138507509275,0.16015625,10,0.8746033340462501,0.39822443181818185,False,False,up
PSAPL1,-0.05188000000000004,0.7340474015743979,1.0,10,0.8746033340462501,1.0,False,False,down
IL22,0.048419999999999984,0.7345233813101775,0.625,10,0.8746556017187251,0.8251221333979328,False,False,up
IL17RB,0.04519999999999998,0.7346868809806247,0.1953125,8,0.8746556017187251,0.4478007903981265,False,False,up
ADAM12,-0.05405000000000001,0.735282541828967,0.76953125,10,0.8750100588945203,0.8933254076086956,False,False,down
TNFRSF21,0.01743999999999999,0.7359960366821341,0.921875,10,0.8754077672810123,0.9771010014435222,False,False,up
CD70,-0.07803749999999998,0.7364520078210338,1.0,8,0.8754077672810123,1.0,False,False,down
PAEP,-0.023722222222222224,0.7365109271199801,0.42578125,9,0.8754077672810123,0.6793829129823151,False,False,down
CHM,-0.084925,0.7369942144612698,1.0,8,0.8756278348999795,1.0,False,False,down
PRTG,-0.016450000000000013,0.7380129767831693,1.0,10,0.8764836687473386,1.0,False,False,down
NXPE4,0.0824125,0.7385780779057491,0.7421875,8,0.8765439547814261,0.8768321349557522,False,False,up
SNAP25,-0.07137777777777778,0.7386606360517636,0.65234375,9,0.8765439547814261,0.8251221333979328,False,False,down
GFOD2,-0.035912499999999986,0.7393532066950883,0.9453125,8,0.8766848054676203,0.987685098719317,False,False,down
CACNA1H,-0.079075,0.7393763238485855,0.84375,8,0.8766848054676203,0.9341218797010155,False,False,down
GAD2,-0.05746999999999998,0.7399427485415546,0.845703125,10,0.8770023617701962,0.9341218797010155,False,False,down
TGFB1,0.05699,0.740492971147706,0.10546875,10,0.8772324279677036,0.3125748927850656,False,False,up
SCP2,-0.0393125,0.7407342258630933,0.9453125,8,0.8772324279677036,0.987685098719317,False,False,down
B2M,0.03287999999999999,0.7414907925066554,1.0,10,0.877774469001228,1.0,False,False,up
GFRA2,0.030488888888888913,0.7428263322815483,0.5703125,9,0.8790011836869086,0.7765451147426982,False,False,up
APOC1,-0.021679999999999984,0.7434361162221705,0.845703125,10,0.8793684548306543,0.9341218797010155,False,False,down
VWF,0.03827000000000006,0.7442443524497738,0.6953125,10,0.8797279172813347,0.8562401729559749,False,False,up
TFAP2A,-0.14547777777777773,0.7443479589467983,0.8203125,9,0.8797279172813347,0.9312940906455354,False,False,down
GC,0.01605000000000001,0.7446386116313919,0.921875,10,0.8797279172813347,0.9771010014435222,False,False,up
ATP1B1,-0.1000375,0.7452497916037752,0.640625,8,0.87999547036897,0.8251221333979328,False,False,down
VSTM2B,0.021266666666666656,0.7454643276397676,0.8203125,9,0.87999547036897,0.9312940906455354,False,False,up
MYBPC2,-0.027529999999999964,0.7461422341547101,0.6953125,10,0.8802530725065645,0.8562401729559749,False,False,down
DDX4,-0.07286000000000001,0.7465478556338399,0.625,10,0.8802530725065645,0.8251221333979328,False,False,down
JAM2,-0.022050000000000014,0.7472982403762378,0.625,10,0.8802530725065645,0.8251221333979328,False,False,down
LRG1,0.01809999999999999,0.747459785046632,0.845703125,10,0.8802530725065645,0.9341218797010155,False,False,up
CEACAM5,-0.05990000000000001,0.747695315674964,0.9453125,8,0.8802530725065645,0.987685098719317,False,False,down
MEPE,0.014629999999999999,0.7477809550124079,0.6953125,10,0.8802530725065645,0.8562401729559749,False,False,up
SAFB2,0.049833333333333334,0.7480451111029094,0.91015625,9,0.8802530725065645,0.9771010014435222,False,False,up
CLIC5,-0.06225000000000003,0.7480802413947514,0.4609375,8,0.8802530725065645,0.717041015625,False,False,down
TIMP1,0.03771,0.7497715712525908,0.16015625,10,0.8818899097993027,0.39822443181818185,False,False,up
OPTC,0.0618111111111111,0.7507751464159436,0.734375,9,0.88271681546182,0.8768321349557522,False,False,up
KLRF1,0.04096,0.7513362701916754,0.921875,10,0.8830230594449582,0.9771010014435222,False,False,up
SIRT1,-0.07501,0.7525095136090394,1.0,10,0.8840481765878995,1.0,False,False,down
NID1,0.04894999999999998,0.7543177206691295,0.083984375,10,0.8858181309896974,0.2725548169889503,False,False,up
PAFAH2,-0.05532222222222219,0.757354500883161,1.0,9,0.8885283382088245,1.0,False,False,down
HIP1,0.047412499999999996,0.7574585277582168,1.0,8,0.8885283382088245,1.0,False,False,up
NPY,0.05332999999999997,0.75753318313752,0.6953125,10,0.8885283382088245,0.8562401729559749,False,False,up
WDR46,0.032389999999999995,0.758213725024246,0.845703125,10,0.8889715410763315,0.9341218797010155,False,False,up
VSNL1,-0.014680000000000002,0.7589271134590292,0.6953125,10,0.8894528859653507,0.8562401729559749,False,False,down
GOLM2,0.019319999999999997,0.7595900387233754,0.76953125,10,0.8894653533816088,0.8933254076086956,False,False,up
ITGAL,-0.3309000000000001,0.7602750349946654,0.6953125,10,0.8894653533816088,0.8562401729559749,False,False,down
H2AP,-0.08072222222222224,0.7603196874427909,0.91015625,9,0.8894653533816088,0.9771010014435222,False,False,down
TNFRSF13C,-0.04001111111111112,0.7603480744861721,0.65234375,9,0.8894653533816088,0.8251221333979328,False,False,down
LY6D,0.03926,0.7605778613527884,0.625,10,0.8894653533816088,0.8251221333979328,False,False,up
CCL7,-0.0644625,0.7607548408902286,0.9453125,8,0.8894653533816088,0.987685098719317,False,False,down
CA11,-0.020487500000000006,0.7615852330496109,0.84375,8,0.8895181174706653,0.9341218797010155,False,False,down
MEGF11,0.03745000000000001,0.7616923046540904,0.9453125,8,0.8895181174706653,0.987685098719317,False,False,up
CD163,0.029580000000000016,0.7623546801116352,0.4921875,10,0.8895181174706653,0.7318068024861878,False,False,up
SIT1,0.06176666666666667,0.762537816241761,0.91015625,9,0.8895181174706653,0.9771010014435222,False,False,up
IFI30,0.03550000000000001,0.7625551707024141,0.6953125,10,0.8895181174706653,0.8562401729559749,False,False,up
APP,-0.09893999999999997,0.7626171671062769,0.556640625,10,0.8895181174706653,0.7765451147426982,False,False,down
CREG1,-0.037999999999999985,0.7634650830919056,0.65234375,9,0.8895639634761069,0.8251221333979328,False,False,down
OXT,0.024960000000000048,0.7635524480021632,0.921875,10,0.8895639634761069,0.9771010014435222,False,False,up
RAC3,0.08091249999999997,0.763565118121643,0.7421875,8,0.8895639634761069,0.8768321349557522,False,False,up
GPNMB,-0.02729999999999999,0.7661986964840504,0.91015625,9,0.8922781806398319,0.9771010014435222,False,False,down
PDIA5,0.0928777777777778,0.7672177352958174,0.734375,9,0.893110776283716,0.8768321349557522,False,False,up
TYRP1,-0.04555000000000001,0.768077930888447,0.556640625,10,0.8937578775829512,0.7765451147426982,False,False,down
PPIE,0.08435555555555554,0.7686882943729162,0.8203125,9,0.8939414697832513,0.9312940906455354,False,False,up
SSH3,0.034133333333333335,0.7689157661290696,0.8203125,9,0.8939414697832513,0.9312940906455354,False,False,up
NXPH1,0.09583333333333334,0.7691488233375132,0.91015625,9,0.8939414697832513,0.9771010014435222,False,False,up
RNF4,-0.10202222222222222,0.7697998427378897,0.65234375,9,0.8943442002061637,0.8251221333979328,False,False,down
CXCL8__Oncology,0.07749999999999997,0.7711452643661683,0.232421875,10,0.895553041298314,0.4942961961440985,False,False,up
NPPB,-0.3445,0.771650030514577,0.734375,9,0.8957850354234438,0.8768321349557522,False,False,down
BTD,-0.01688,0.7721595110901884,0.845703125,10,0.8960223168992032,0.9341218797010155,False,False,down
RBFOX3,-0.036699999999999997,0.7726568970987834,0.49609375,9,0.8961789582948773,0.7318068024861878,False,False,down
IDUA,0.030489999999999996,0.7729047672321838,0.6953125,10,0.8961789582948773,0.8562401729559749,False,False,up
