Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
PTPRN2,-0.09898888888888886,0.32099226901093475,0.1640625,9,0.9898389461302447,0.97517578125,False,False,down
VWF,-0.12095000000000003,0.3217079323753104,0.130859375,10,0.9898389461302447,0.97517578125,False,False,down
C1RL,0.09276999999999999,0.3232877772650646,0.431640625,10,0.9898389461302447,0.97517578125,False,False,up
HIP1,0.11123333333333332,0.3233274908723582,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
IL13,-0.1780666666666667,0.32464776848420984,0.30078125,9,0.9898389461302447,0.97517578125,False,False,down
ENO1,-0.34516,0.32486918900420225,0.275390625,10,0.9898389461302447,0.97517578125,False,False,down
NBL1,0.07327777777777778,0.3250830976938732,0.25,9,0.9898389461302447,0.97517578125,False,False,up
PACS2,-0.4414555555555556,0.3252888571236168,0.359375,9,0.9898389461302447,0.97517578125,False,False,down
IMPG1,0.223425,0.32573136548483533,0.25,8,0.9898389461302447,0.97517578125,False,False,up
LILRA6,0.13482,0.32613409439313157,0.431640625,10,0.9898389461302447,0.97517578125,False,False,up
FCER1A,0.18902222222222223,0.32624048738696343,0.25,9,0.9898389461302447,0.97517578125,False,False,up
PPCDC,-0.23118000000000002,0.3268210388741999,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
EPHX2,0.20698888888888892,0.3269517042556005,0.203125,9,0.9898389461302447,0.97517578125,False,False,up
IMPA1,-0.2632444444444444,0.32704552209469234,0.1640625,9,0.9898389461302447,0.97517578125,False,False,down
TNFRSF19,0.05902,0.32706479185991305,0.193359375,10,0.9898389461302447,0.97517578125,False,False,up
AMFR,0.21159999999999995,0.3271319262283463,0.4609375,8,0.9898389461302447,0.986577545700309,False,False,up
DTX2,0.3152714285714286,0.32754763256188424,0.375,7,0.9898389461302447,0.97517578125,False,False,up
CRKL,-0.5287300000000001,0.3276760332897597,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
ADAMTS1,0.3563555555555555,0.3277544654743447,0.359375,9,0.9898389461302447,0.97517578125,False,False,up
ENTPD6,0.07017777777777777,0.32811749399957224,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
DCUN1D2,0.26084444444444443,0.32826351501564566,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,up
MOG,-0.08009,0.32906559699631777,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
SFRP4,0.12702222222222223,0.32928767306785184,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
PILRB,0.06570000000000001,0.32942554603119456,0.25,9,0.9898389461302447,0.97517578125,False,False,up
SHBG,0.13718888888888886,0.3296253190688093,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
ANPEP,-0.08584000000000001,0.32968916731224135,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
SEC31A,-0.24071111111111115,0.33000246237666175,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,down
NGF,0.07277777777777777,0.33035924323573074,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
WDR46,0.12044999999999999,0.33115147775331016,0.16015625,10,0.9898389461302447,0.97517578125,False,False,up
SULT1A1,-0.5860299999999999,0.3312288276004683,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
ITGB1,-0.055559999999999984,0.331240537747269,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
PGM2,0.33941428571428567,0.3315252259891791,0.296875,7,0.9898389461302447,0.97517578125,False,False,up
COL15A1,0.11730000000000004,0.33154415462145637,0.4921875,10,0.9898389461302447,0.986577545700309,False,False,up
GFAP,-0.3114875000000001,0.33168820167988344,0.3828125,8,0.9898389461302447,0.97517578125,False,False,down
ECI2,0.24434444444444445,0.33193719647887115,0.5703125,9,0.9898389461302447,0.986577545700309,False,False,up
MTSS1,-0.43073999999999996,0.3320532913580915,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
LAG3,0.10772999999999999,0.3324372220026519,0.431640625,10,0.9898389461302447,0.97517578125,False,False,up
KYNU,-0.12065999999999999,0.33280730404274694,0.375,10,0.9898389461302447,0.97517578125,False,False,down
F2R,-0.33565999999999996,0.3328172464792395,0.232421875,10,0.9898389461302447,0.97517578125,False,False,down
SEMA7A,-0.06906999999999999,0.3330398751960656,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
IVD,0.3031125,0.3331055550852403,0.3828125,8,0.9898389461302447,0.97517578125,False,False,up
ERN1,-0.10794,0.3332404692831916,0.625,10,0.9898389461302447,0.986577545700309,False,False,down
PREB,-0.19344444444444442,0.3334321239306841,0.25,9,0.9898389461302447,0.97517578125,False,False,down
AGXT,0.1565111111111111,0.333454404901808,0.359375,9,0.9898389461302447,0.97517578125,False,False,up
CYB5R2,0.15626,0.33346016797823536,0.625,10,0.9898389461302447,0.986577545700309,False,False,up
PTPN1,-0.3710555555555556,0.3335387048700837,0.1640625,9,0.9898389461302447,0.97517578125,False,False,down
EPHA10,0.2572875,0.3335524993328056,0.640625,8,0.9898389461302447,0.986577545700309,False,False,up
SHMT1,-0.29849,0.3338912735504371,0.232421875,10,0.9898389461302447,0.97517578125,False,False,down
FZD10,0.17122857142857145,0.3348244690869001,0.296875,7,0.9898389461302447,0.97517578125,False,False,up
FKBP5,-0.3862333333333333,0.33498031272269063,0.1640625,9,0.9898389461302447,0.97517578125,False,False,down
RPA2,0.2755,0.33564085106753205,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,up
FYB1,-0.35984999999999995,0.33572862790491076,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
IL11,-0.13456666666666664,0.33623799197420895,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,down
