Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),16/109,4.4612951089333813e-07,1.686369551176818e-05,0,0,5.2426840887437045,76.66196879792338,VIT;COL15A1;MMP1;SPINK5;MMP3;MMP8;MMP9;MMP10;COL1A1;MMP12;SMOC2;COL3A1;ADAMTS13;SPINT1;SMOC1;MATN2,
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),16/110,5.066401116368703e-07,1.8914564167776493e-05,0,0,5.186641529760301,75.18278037002875,VIT;COL15A1;MMP1;SPINK5;MMP3;MMP8;MMP9;MMP10;COL1A1;MMP12;SMOC2;COL3A1;ADAMTS13;SPINT1;SMOC1;MATN2,
GO_Biological_Process_2023,Negative Regulation Of Proteolysis (GO:0045861),10/41,5.377814355719687e-07,1.9763480897856578e-05,0,0,9.76893518050359,141.02252746236545,CST3;EFNA1;CSTB;ECM1;SERPINE2;TIMP3;TIMP1;F2;TIMP4;CTSB,
GO_Biological_Process_2023,Negative Regulation Of Multicellular Organismal Process (GO:0051241),24/231,5.424500378710635e-07,1.9763480897856578e-05,0,0,3.557227796358231,51.32072961982891,LRPAP1;REG3A;GRN;NOTCH1;IFNGR1;LAMA4;ADIPOQ;F2R;ACOT13;TREM2;APOA4;DKK1;AGER;VASN;ROBO1;EFNA1;CRHBP;APOM;PROC;ALDH1A1;TIMP1;GAS6;RAB11FIP3;IL18R1,
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),21/186,7.098419730807996e-07,2.5554311030908785e-05,0,0,3.894707843990141,55.14214398535984,NOTCH2;NOTCH1;TGFB1;PDGFB;SORD;PCSK9;PARK7;LILRB2;MMP8;CRKL;ROBO1;VEGFA;CILP;LGALS9;APOE;CD46;CD34;LDLR;LGMN;HAVCR2;ENG,
GO_Biological_Process_2023,Antimicrobial Humoral Response (GO:0019730),15/100,7.664723960600185e-07,2.7268382655123483e-05,0,0,5.371340953442989,75.6363611994482,REG3A;CXCL6;CCL13;CXCL9;REG1B;RARRES2;REG1A;CXCL1;AZU1;PPBP;CXCL3;F2;CXCL10;CXCL11;PGLYRP1,
GO_Biological_Process_2023,Positive Regulation Of Chemokine Production (GO:0032722),11/53,8.382778187463299e-07,2.947618748708025e-05,0,0,7.939373551618449,111.08704993442642,CD74;ADIPOQ;IL18;EIF2AK2;LGALS9;AZU1;IL6R;AGER;TLR3;MBL2;IL17RA,immune
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),22/204,8.52904682950612e-07,2.953622591199929e-05,0,0,3.701681704876593,51.72958792766196,COLEC12;CHGA;FCN2;PGLYRP2;ANXA3;RARRES2;SERPINE1;STAB2;IL18;TREM2;AZU1;CFP;MPO;SELP;LCN2;IL12B;TNFRSF14;PGLYRP1;IL6R;GBP1;TLR3;MBL2,
GO_Biological_Process_2023,Positive Regulation Of Cell Adhesion (GO:0045785),14/88,8.59519801671937e-07,2.953622591199929e-05,0,0,5.752664336260551,80.34684134605098,VIT;MEGF10;CCL21;PDGFB;AZU1;FBLN2;FSTL3;VEGFA;CCL5;IL12B;ADAM9;ITGAV;ADAM8;STX3,
GO_Biological_Process_2023,Negative Regulation Of Complement Activation (GO:0045916),6/12,8.841455294407725e-07,2.9707289789209954e-05,0,0,30.133956386292837,420.0264952555535,CR2;SERPING1;CD59;VSIG4;CD46;CD55,immune
GO_Biological_Process_2023,Positive Regulation Of Cellular Extravasation (GO:0002693),6/12,8.841455294407725e-07,2.9707289789209954e-05,0,0,30.133956386292837,420.0264952555535,THY1;AGER;LYVE1;CD99;ICAM1;XG,
GO_Biological_Process_2023,Regulation Of Cell Adhesion (GO:0030155),18/144,9.961852218653383e-07,3.3104001218909705e-05,0,0,4.359637188208617,60.24727645399693,CD164;TNXB;ANGPT1;SEMA4D;TNC;IL18;PLAUR;AZU1;VEGFA;EFNA1;ATXN3;PLAU;CCL5;IL12B;PLXNB2;ADAM8;ITGAV;STX3,
GO_Biological_Process_2023,Positive Regulation Of T Cell Proliferation (GO:0042102),12/65,1.0115062665952565e-06,3.323826726736236e-05,0,0,6.870416518333927,94.83971044524375,CD86;VCAM1;CD40LG;PTPRC;CD6;CD209;CCL5;IL18;IL12B;LILRB2;CD46;CD276,immune
GO_Biological_Process_2023,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660),11/54,1.022208616357374e-06,3.323826726736236e-05,0,0,7.7543353656310465,106.95977351175527,PDGFRB;TGFB1;CCL5;OGN;IL18;PDGFB;CCN4;IL12B;APOD;APOE;IL6R,
GO_Biological_Process_2023,Extracellular Matrix Disassembly (GO:0022617),10/44,1.0903126331160278e-06,3.507558938875391e-05,0,0,8.905587313295223,122.26521862464516,MMP12;MMP1;MMP3;KLK4;ADAM8;TPSAB1;MMP8;MMP9;CTSS;MMP10,
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),37/480,1.123470692237634e-06,3.57618460350169e-05,0,0,2.584790503670481,35.40927213655114,CALCOCO1;NOTCH1;PDCD5;PDGFB;TNC;DPY30;TREM2;PARK7;ROBO1;CDH5;CDH3;LAMP3;LGALS9;CD34;CD74;MAP2K1;TGFB1;ANGPT1;IFNGR1;EGF;NTRK3;FN1;CIRBP;EIF2AK2;AZU1;MMP8;DKK1;VEGFA;SOD1;ERN1;DNAJA4;CNTN1;PLXNB2;GAS6;CD46;TLR3;HSPA1A,
GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),12/66,1.2002725375175123e-06,3.7808584931801645e-05,0,0,6.742837176799441,91.92484241254512,CST3;SERPINB1;SERPINE2;SERPIND1;SERPINE1;TIMP3;SERPING1;TIMP1;SERPINA4;TIMP4;SERPINA5;SERPINB6,
GO_Biological_Process_2023,Positive Regulation Of Kinase Activity (GO:0033674),15/104,1.2807448440288083e-06,3.98732882019943e-05,0,0,5.128867351829171,69.58882478733865,PDGFRB;DDR1;CD74;CCL21;NTRK3;TREM2;AZU1;F2;MERTK;PTPRC;AXL;EPHA1;GAS6;MET;EPHB4,
