protein,fc_pre,p_pre,fc_post,p_post,fc_interaction,p_interaction,fdr_pre,fdr_post,fdr_interaction
IST1,0.8305399999999998,0.043160051227833535,0.93621,0.026836329752529205,0.10567000000000004,0.8390218440630357,0.24766451270971665,0.14129952833858567,0.9911725684990748
ITGAX,0.397675,0.32095974995260607,0.6183666666666666,0.4828540491269073,0.004457142857142874,0.9961626384095356,0.6061362548123523,0.730121048036466,0.9982011704117378
ITIH5,-0.08258999999999997,0.8260012633861358,-0.24269000000000002,0.4946218132628316,-0.16009999999999996,0.7858763829468149,0.9258422409472198,0.7399179670907328,0.9839089183419631
IZUMO1,0.05746000000000001,0.6732002282249724,0.00981111111111111,0.9592833458914074,-0.01801111111111107,0.9359287415161504,0.8588199177268645,0.9820120105327369,0.9940568131447077
JMJD1C,0.15876000000000007,0.626961603459872,-0.4693777777777778,0.06984693199746068,-0.7100111111111111,0.1875384774682305,0.834165405165568,0.24126952914339825,0.9471774407456163
JPT2,0.32763000000000003,0.18029692384877916,0.73313,0.0034841712506420296,0.40549999999999997,0.19766930513558442,0.455979290793896,0.08926735096139099,0.9471774407456163
KAZN,0.7048599999999999,0.03061920248240586,1.14209,0.01351471812144516,0.4372299999999999,0.4017191744389925,0.22212152319335413,0.10760499143849832,0.9471774407456163
KHDC3L,-0.37482999999999994,0.05774818645466187,-0.014255555555555514,0.9354661167053022,0.3706666666666667,0.24496588442888062,0.2740939770659072,0.9738702899475299,0.9471774407456163
KIAA1549,0.8355,0.3186625431598634,1.0295444444444444,0.3281161956328433,0.2995000000000001,0.8706846003869023,0.6044096525524072,0.6037813068603246,0.9938501124438283
KIAA1549L,-0.29495000000000005,0.5244028515359385,-0.725111111111111,0.1490056452982129,-0.8079428571428571,0.24042457517427607,0.7570985640356694,0.38758141757025877,0.9471774407456163
KIAA2013,0.02018000000000001,0.8690767589970869,0.10039999999999996,0.28202815178714885,0.08022,0.6177260633284397,0.9421733947746191,0.5535061522716388,0.9619401148472417
